Red Fighter,Blue Fighter,Betting Odds (Red),Betting Odds (Blue),Payout (Red),Payout (Blue),Date,Location,Country,Winner,Weight Class,Gender,Number of Rounds,Wins (Blue),Stance (Blue),Height_cms (Blue),Reach_cms (Blue),Weight_lbs (Blue),Wins (Red),Stance (Red),Height_cms (Red),Reach_cms (Red),Weight_lbs (Red),Age (Red),Age (Blue),Women's Strawweight Ranking (Blue),Women's Bantamweight Ranking (Blue),Heavyweight Ranking (Red),Welterweight Ranking (Blue),Knockdowns (Red),Knockdowns (Blue) ,Significant Strikes Landed (Red),Significant Strikes Landed (Blue),Average Accuracy of Significant Strikes Landed (Red),Average Accuracy of Significant Strikes Landed (Blue),Total Number of Strikes Landed (Red),Total Number of Strikes Landed (Blue),Total Number of Strikes Attempted (Red),Total Number of Strikes Attempted (Blue),Average Takedowns Landed (Red),Average Takedowns Landed (Blue),Accuracy of Takedowns Landed (Red),Accuracy of Takedowns Landed (Blue),Number of Submissions Attempted (Red),Guard Passes (Red),Guard Passes (Blue)
Tafon Nchukwi,Jamie Pickett,-335,275,29.85074627,275,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,1,Orthodox,187.96,203.2,185,2,Orthodox,182.88,195.58,205,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Flick,Cody Durden,-157,137,63.69426752,137,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,0,Southpaw,170.18,170.18,125,2,Orthodox,170.18,172.72,125,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christos Giagos,Carlton Minus,-345,285,28.98550725,285,12/19/20,"Las Vegas, Nevada, USA",USA,Red,Catch Weight,MALE,3,0,Orthodox,177.8,190.5,170,4,Orthodox,177.8,180.34,155,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Ferguson,Charles Oliveira,-185,160,54.05405405,160,12/12/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,15,Orthodox,180.34,193.04,155,18,Orthodox,177.8,187.96,155,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackenzie Dern,Virna Jandiroba,-160,140,62.5,140,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,2,Orthodox,160.02,162.56,115,5,Orthodox,162.56,160.02,115,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Holland,Jacare Souza,-135,115,74.07407407,115,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Middleweight,MALE,3,19,Orthodox,185.42,182.88,185,9,Orthodox,190.5,205.74,185,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Dos Santos,Ciryl Gane,325,-400,325,25,12/12/20,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,3,15,Orthodox,193.04,195.58,238,4,Orthodox,193.04,205.74,245,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cub Swanson,Daniel Pineda,132,-152,132,65.78947368,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,4,Orthodox,170.18,175.26,145,17,Orthodox,172.72,177.8,145,37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renato Moicano,Rafael Fiziev,120,-140,120,71.42857143,12/12/20,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,6,Orthodox,180.34,182.88,155,3,Switch,172.72,180.34,155,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Tucker,Billy Quarantillo,165,-190,165,52.63157895,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,4,Orthodox,177.8,177.8,145,4,Southpaw,167.64,167.64,145,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tecia Torres,Sam Hughes,-550,425,18.18181818,425,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Women's Strawweight,FEMALE,3,0,Orthodox,165.1,162.56,115,8,Orthodox,154.94,152.4,115,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Hooper,Peter Barrett,-310,255,32.25806452,255,12/12/20,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,Southpaw,177.8,185.42,145,3,Southpaw,185.42,187.96,145,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
