Winner,title_bout,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,draw_diff,avg_sig_str_pct_diff,avg_TD_pct_diff,win_by_Decision_Majority_diff,win_by_Decision_Split_diff,win_by_Decision_Unanimous_diff,win_by_TKO_Doctor_Stoppage_diff,odds_diff,ev_diff,kd_bout_diff,sig_str_landed_bout_diff,sig_str_attempted_bout_diff,sig_str_pct_bout_diff,tot_str_landed_bout_diff,tot_str_attempted_bout_diff,td_landed_bout_diff,td_attempted_bout_diff,td_pct_bout_diff,sub_attempts_bout_diff,pass_bout_diff,rev_bout_diff,Stance_diff,better_rank_enc
1,0,0,-2,-2,-1,1,-1,0,0,0,-10.16,-2.54,2,-0.84,-1.1,0.25,0,0.0,0.0,0,0,-1,0,315,82.85714286000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0,0,1,-2,-2,-2,1,-1,0,-2,0,-10.16,-10.16,4,-0.25,-1.7,1.22,0,0.0,0.0,0,0,0,0,360,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,1,0,-1,-1,1,2,0,-1,0,10.16,5.08,4,4.4,0.0,-2.24,0,0.0,0.0,0,0,0,0,317,83.50282486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0,-2,-3,-3,-16,0,-1,0,-2.54,0.0,-3,-3.44,0.0,2.97,0,0.0,0.0,0,-1,-1,0,247,37.007299270000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,-1,1,0,0,-1,-1,0,-1,0,-12.7,-5.08,-3,-3.61,0.0,0.52,0,0.0,0.0,0,0,1,0,-580,-215.14925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
0,0,-1,0,0,0,-1,-3,0,0,0,-12.7,-7.62,3,-2.69,-0.2,0.3,0,0.0,0.0,0,0,0,0,302,75.11976048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,-1,0,0,0,-2,-3,0,0,1,-7.62,-15.24,-3,-0.43,1.3,0.14,0,0.0,0.0,0,0,-1,0,360,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,1,-1,-1,-1,0,-4,0,0,0,-2.54,-2.54,6,-4.38,-1.4,-0.68,0,0.0,0.0,0,0,-1,0,585,220.14925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0,0,0,0,-1,-3,-3,-9,0,-2,-1,10.16,12.7,-5,-4.6,-0.4,0.63,0,0.0,0.0,0,0,0,0,280,60.48387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,0,-1,0,-1,0,-6,-1,-2,1,2.54,-7.62,-4,1.88,-1.5,1.32,0,0.0,0.0,0,-1,1,0,511,190.03496503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
1,0,0,-4,-3,-5,0,-22,-5,-2,-1,-2.54,-5.08,0,1.02,-0.2,-1.86,0,0.0,0.0,0,-1,-1,0,2517,844.00119976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
0,0,0,0,2,5,3,18,0,1,2,10.16,10.16,7,0.56,0.2,0.32,0,0.0,0.0,0,0,2,0,270,53.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,-1,3,0,-1,-3,-9,-1,0,3,-12.7,-10.16,2,0.03,0.8,1.67,1,0.0,0.0,0,-1,-3,0,-470,-167.26415094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
0,0,0,0,-7,-22,-7,-60,-3,-21,4,5.08,0.0,-6,-1.33,0.8,-0.56,0,0.0,0.0,0,-2,-3,0,-340,-97.36842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
1,0,0,0,-1,-3,-2,-19,0,0,0,5.08,-5.08,2,0.9,2.7,-0.69,-1,0.0,0.0,0,-1,-2,0,340,97.36842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
1,0,0,0,0,0,-1,-3,0,0,0,10.16,2.54,3,3.87,0.0,-0.85,0,0.0,0.0,0,0,0,0,470,167.26415094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,-1,2,0,-1,0,-3,0,-1,0,-5.08,0.0,-10,-0.75,-0.1,-0.18,0,0.0,0.0,0,0,0,0,297,70.11976048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
0,0,0,-3,-3,-2,2,7,0,-1,-1,-5.08,0.0,3,-5.29,-0.4,-0.09,1,0.0,0.0,0,1,-1,0,585,220.14925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,-1,0,-3,-7,-5,-24,0,-4,0,0.0,10.16,-12,-4.85,0.0,-0.59,0,0.0,0.0,0,0,-3,0,270,53.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,0,-1,1,0,0,-1,-5,0,1,0,-7.62,-2.54,2,0.28,1.5,0.95,0,0.0,0.0,0,0,-1,0,545,198.25396825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
